timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
65621.66206254167, 0.0272064208984375, -0.845733642578125, -0.593963623046875, -0.08394177258014679, -0.06313316524028778, 0.016863401979207993
65621.67213154167, 0.038604736328125, -0.8532867431640625, -0.594512939453125, -0.0864451453089714, -0.05903748795390129, 0.029878269881010056
65621.68219954167, 0.0563812255859375, -0.8617706298828125, -0.5942535400390625, -0.09696489572525024, -0.05222432315349579, 0.05958929285407066
65621.69226754167, 0.0666961669921875, -0.8699493408203125, -0.591583251953125, -0.10569021105766296, -0.05450505390763283, 0.10509845614433289
65621.70233654167, 0.07147216796875, -0.8737945556640625, -0.5855560302734375, -0.0994136705994606, -0.04904477298259735, 0.15289101004600525
65621.71240454167, 0.0672607421875, -0.86309814453125, -0.5806884765625, -0.08230925351381302, -0.03755030408501625, 0.18843889236450195
65621.72247354167, 0.04364013671875, -0.845062255859375, -0.5785369873046875, -0.06244287267327309, -0.03224528953433037, 0.20085321366786957
65621.73254154167, 0.0125274658203125, -0.8301544189453125, -0.5738067626953125, -0.05072709172964096, -0.02532426454126835, 0.1884079873561859
65621.74261054167, -0.0098419189453125, -0.8267364501953125, -0.5655059814453125, -0.035772643983364105, -0.00899642426520586, 0.16445845365524292
65621.75267854167, -0.0215301513671875, -0.82525634765625, -0.5565643310546875, -0.01925572007894516, -0.005006742663681507, 0.13547420501708984
65621.76274754167, -0.0238037109375, -0.82220458984375, -0.552642822265625, -0.010718424804508686, -0.00464615086093545, 0.10208828747272491
65621.77281554167, -0.02655029296875, -0.8262176513671875, -0.550048828125, -0.004637895151972771, -0.008736499585211277, 0.0726771354675293
65621.78288354167, -0.02532958984375, -0.830780029296875, -0.5506439208984375, -0.004159324802458286, -0.016453275457024574, 0.044066525995731354
65621.79295254167, -0.01806640625, -0.834625244140625, -0.55303955078125, -0.010934406891465187, -0.022302376106381416, 0.022400647401809692
65621.80302054167, -0.01251220703125, -0.837310791015625, -0.554901123046875, -0.015666844323277473, -0.034805916249752045, 0.014942730776965618
65621.81308954167, -0.003143310546875, -0.836578369140625, -0.558868408203125, -0.022952454164624214, -0.04079084098339081, 0.013129650615155697
65621.82315754167, 0.007080078125, -0.83575439453125, -0.5679779052734375, -0.023874972015619278, -0.046188268810510635, 0.023123428225517273
65621.83322654167, 0.015655517578125, -0.8326416015625, -0.574310302734375, -0.021496769040822983, -0.04894197732210159, 0.035466380417346954
65621.84329454167, 0.01702880859375, -0.8292083740234375, -0.580078125, -0.006887200754135847, -0.06061061471700668, 0.05197851359844208
65621.85336254167, 0.01751708984375, -0.829345703125, -0.58148193359375, 0.005533782299607992, -0.06455209851264954, 0.06633827835321426
65621.86343154167, 0.017822265625, -0.8301849365234375, -0.5792236328125, 0.004563326481729746, -0.06267829239368439, 0.07569050043821335
65621.87349954167, 0.015838623046875, -0.8374176025390625, -0.57574462890625, 0.006106628105044365, -0.06011846289038658, 0.08777512609958649
65621.88356854167, 0.018707275390625, -0.839447021484375, -0.57427978515625, 0.001891909632831812, -0.051782503724098206, 0.0967278778553009
65621.89363654167, 0.0206451416015625, -0.835174560546875, -0.5756683349609375, 0.0022266688756644726, -0.03866963088512421, 0.10252104699611664
65621.90370554167, 0.0136260986328125, -0.8314208984375, -0.5763092041015625, 0.008826248347759247, -0.029860427603125572, 0.10258709639310837
65621.91377354167, 0.0069580078125, -0.8242950439453125, -0.570831298828125, 0.016748087480664253, -0.02100621536374092, 0.09371291100978851
65621.92384254167, 0.0029754638671875, -0.8198394775390625, -0.56378173828125, 0.029617546126246452, -0.016571786254644394, 0.08056088536977768
65621.93391054167, 0.0046844482421875, -0.8192901611328125, -0.5569000244140625, 0.032941438257694244, -0.007558850105851889, 0.06713695824146271
65621.94397854168, 0.0079193115234375, -0.821868896484375, -0.5492706298828125, 0.027582358568906784, -0.0005715143634006381, 0.05886145308613777
65621.95404754167, 0.0029754638671875, -0.828948974609375, -0.5453338623046875, 0.014615694060921669, -0.01079991739243269, 0.04566362500190735
65621.96411554168, -0.0030975341796875, -0.830413818359375, -0.5451507568359375, 0.0011827098205685616, -0.0335230715572834, 0.03869812563061714
65621.97418454167, -0.0057830810546875, -0.82696533203125, -0.547454833984375, -0.010526943020522594, -0.053883206099271774, 0.03278910368680954
65621.98425254168, -0.0093994140625, -0.82501220703125, -0.5497283935546875, -0.02184884063899517, -0.06397871673107147, 0.02371544949710369
65621.99432154167, -0.0123138427734375, -0.8204803466796875, -0.5529632568359375, -0.021952703595161438, -0.06157707795500755, 0.019121762365102768
65622.00438954167, -0.0120849609375, -0.816680908203125, -0.5596771240234375, -0.02099023573100567, -0.056769005954265594, 0.012485964223742485
65622.01445754166, -0.0120697021484375, -0.8172760009765625, -0.5639190673828125, -0.019631491973996162, -0.060552824288606644, 0.010500311851501465
65622.02452654167, -0.0097198486328125, -0.8218841552734375, -0.5617828369140625, -0.020365193486213684, -0.06937268376350403, 0.015447133220732212
