timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
65764.937693041, 000030, 0.026367785, -0.01533455, -0.028349375, 0.7033039, -0.6929098, 0.15146114, 0.047949046, 1594.7247, 1594.7247, 955.2954, 717.65234, , 
65764.954362208, 000031, 0.027758373, -0.015313413, -0.029761316, 0.7022981, -0.69343567, 0.15442435, 0.045579754, 1594.7247, 1594.7247, 955.29553, 717.6529, , 
65764.971031333, 000032, 0.029265655, -0.01521717, -0.031128695, 0.7011491, -0.69411314, 0.15721436, 0.043365885, 1594.7247, 1594.7247, 955.29565, 717.65485, , 
65765.004369708, 000033, 0.03229391, -0.0149097, -0.03337537, 0.6987221, -0.69572425, 0.16222483, 0.037922636, 1596.9843, 1596.9843, 955.2954, 717.65857, , 
65765.021038916, 000034, 0.034579687, -0.015009899, -0.034328338, 0.6975181, -0.6967166, 0.16401856, 0.03394764, 1596.9843, 1596.9843, 955.29486, 717.66144, , 
65765.037708, 000035, 0.036566652, -0.01501558, -0.03513124, 0.69601357, -0.6978944, 0.16605309, 0.030578049, 1596.9843, 1596.9843, 955.29425, 717.6643, , 
65765.054377208, 000036, 0.038264148, -0.014947653, -0.03588729, 0.6944123, -0.6992124, 0.16775452, 0.027423285, 1596.9843, 1596.9843, 955.2936, 717.66766, , 
65765.087715708, 000037, 0.04133948, -0.014723357, -0.03736835, 0.69125754, -0.7018455, 0.17057352, 0.021920193, 1599.2438, 1599.2438, 955.2923, 717.6767, , 
65765.104384958, 000038, 0.042711847, -0.014503967, -0.038070597, 0.6899652, -0.7028029, 0.17216589, 0.019367281, 1599.2438, 1599.2438, 955.2918, 717.67975, , 
65765.121054, 000039, 0.044912644, -0.015398696, -0.040584378, 0.6891424, -0.70317286, 0.17415334, 0.017361576, 1599.2438, 1599.2438, 955.2915, 717.6823, , 
65765.154392458, 000040, 0.047841094, -0.015625529, -0.043117534, 0.68766946, -0.7037965, 0.1778443, 0.012352684, 1601.5033, 1601.5033, 955.291, 717.68384, , 
65765.171061708, 000041, 0.048941165, -0.015363503, -0.043698225, 0.6870543, -0.70400554, 0.17955066, 0.00970516, 1601.5033, 1601.5033, 955.2908, 717.6842, , 
65765.187730708, 000042, 0.049997248, -0.01507061, -0.04413497, 0.6863921, -0.7042347, 0.1813009, 0.0070218295, 1601.5033, 1601.5033, 955.2904, 717.68463, , 
65765.221069166, 000043, 0.052961, -0.015514951, -0.047248926, 0.6854977, -0.7041691, 0.185033, 0.0012461477, 1603.7628, 1603.7628, 955.2901, 717.6856, , 
65765.237738416, 000044, 0.05413308, -0.015429612, -0.047698166, 0.68468946, -0.7043685, 0.18725282, -0.0013387965, 1603.7628, 1603.7628, 955.29, 717.6863, , 
65765.254407583, 000045, 0.055299416, -0.015335698, -0.047949925, 0.68389726, -0.7045313, 0.18948552, -0.0039269477, 1603.7628, 1603.7628, 955.28986, 717.68665, , 
65765.287745958, 000046, 0.05781971, -0.0152424835, -0.04818695, 0.68218344, -0.7049128, 0.19402233, -0.008893284, 1607.378, 1607.378, 955.28973, 717.6877, , 
65765.304415166, 000047, 0.06055528, -0.01624193, -0.05091694, 0.6819392, -0.704563, 0.19602245, -0.01118374, 1607.378, 1607.378, 955.28986, 717.6883, , 
65765.321084333, 000048, 0.06246285, -0.016637057, -0.051819243, 0.6809617, -0.7047208, 0.1987088, -0.013207262, 1607.378, 1607.378, 955.29, 717.6889, , 
65765.354422666, 000049, 0.06579366, -0.01700877, -0.051924214, 0.67930573, -0.70454407, 0.20455636, -0.017833892, 1598.7919, 1598.7919, 955.2904, 717.6884, , 
65765.371091833, 000050, 0.06756756, -0.017193016, -0.051637493, 0.6784315, -0.70435506, 0.20784806, -0.02034394, 1598.7919, 1598.7919, 955.29065, 717.6878, , 
65765.387761166, 000051, 0.0695266, -0.017433606, -0.051261827, 0.67734736, -0.70421106, 0.21159185, -0.02272037, 1598.7919, 1598.7919, 955.29114, 717.6871, , 
65765.404430375, 000052, 0.07337247, -0.01881532, -0.053577125, 0.6765292, -0.70395416, 0.21481825, -0.024698034, 1598.7919, 1598.7919, 955.2918, 717.68677, , 
65765.437768625, 000053, 0.07896514, -0.020103138, -0.053452313, 0.67350674, -0.7037606, 0.22422123, -0.028888173, 1598.7919, 1598.7919, 955.2938, 717.6862, , 
65765.454437833, 000054, 0.08167317, -0.02063857, -0.052407842, 0.6719522, -0.7035603, 0.22909304, -0.03161393, 1598.7919, 1598.7919, 955.2946, 717.68567, , 
65765.471107083, 000055, 0.08450565, -0.021220032, -0.050925255, 0.67036444, -0.7033536, 0.23387684, -0.03474101, 1598.34, 1598.34, 955.2952, 717.6852, , 
65765.487776125, 000056, 0.08751125, -0.021874458, -0.049110655, 0.66866803, -0.7032211, 0.23856889, -0.038053505, 1598.34, 1598.34, 955.296, 717.6849, , 
65765.521114583, 000057, 0.09752919, -0.024656162, -0.048819564, 0.6649645, -0.7034538, 0.2470443, -0.04409091, 1598.7919, 1598.7919, 955.29706, 717.6858, , 
65765.537783833, 000058, 0.10144781, -0.025546681, -0.046841342, 0.66278726, -0.7036282, 0.25174674, -0.047371373, 1598.7919, 1598.7919, 955.2977, 717.68677, , 
65765.554453041, 000059, 0.1053814, -0.026361544, -0.044473253, 0.6604645, -0.7037773, 0.25670674, -0.050849855, 1598.7919, 1598.7919, 955.2986, 717.6882, , 
65765.571122083, 000060, 0.10942609, -0.027141333, -0.04185939, 0.6581015, -0.7038689, 0.26173016, -0.05448178, 1598.7919, 1598.7919, 955.29926, 717.68915, , 
65765.587791333, 000061, 0.1135923, -0.027896486, -0.039089732, 0.65581876, -0.7038697, 0.26661736, -0.058175974, 1598.7919, 1598.7919, 955.29987, 717.69, , 
65765.621129833, 000062, 0.12467633, -0.031286627, -0.03687698, 0.65150666, -0.70372635, 0.2758018, -0.06512696, 1598.7919, 1598.7919, 955.30115, 717.69104, , 
65765.637798791, 000063, 0.12941816, -0.032086823, -0.034323376, 0.6492975, -0.703505, 0.28062567, -0.06886684, 1598.7919, 1598.7919, 955.3017, 717.6913, , 
65765.654468083, 000064, 0.1342401, -0.032736275, -0.031564873, 0.64700234, -0.70326394, 0.2855742, -0.07249278, 1598.34, 1598.34, 955.3024, 717.69147, , 
65765.671137333, 000065, 0.13922864, -0.03329572, -0.028724458, 0.6447114, -0.7029984, 0.29048753, -0.075877875, 1598.34, 1598.34, 955.30347, 717.6916, , 
65765.687806541, 000066, 0.1443748, -0.0337754, -0.025890836, 0.64257187, -0.7027289, 0.2950479, -0.07886833, 1598.34, 1598.34, 955.30426, 717.6916, , 
65765.70447575, 000067, 0.14961955, -0.03416206, -0.023100179, 0.6406695, -0.7023961, 0.29923075, -0.081506565, 1598.34, 1598.34, 955.30505, 717.69147, , 
65765.721144833, 000068, 0.15544152, -0.03495451, -0.021494059, 0.6389887, -0.7019664, 0.30323333, -0.083583355, 1598.34, 1598.34, 955.3063, 717.6908, , 
65765.75448325, 000069, 0.16633612, -0.035629652, -0.016223267, 0.63587785, -0.7009356, 0.31043798, -0.08931391, 1598.7919, 1598.7919, 955.30743, 717.68945, , 
65765.771152541, 000070, 0.17165186, -0.03578643, -0.013131905, 0.6344904, -0.7005, 0.3132895, -0.09258239, 1598.7919, 1598.7919, 955.3073, 717.6889, , 
65765.787821541, 000071, 0.17703663, -0.035931826, -0.009980107, 0.6330264, -0.7002832, 0.31575707, -0.09580395, 1598.7919, 1598.7919, 955.30707, 717.68915, , 
65765.804490833, 000072, 0.18255456, -0.036094256, -0.006873116, 0.6313853, -0.70039153, 0.31792396, -0.098633915, 1598.7919, 1598.7919, 955.30695, 717.6903, , 
65765.82116, 000073, 0.1890085, -0.03654947, -0.005185695, 0.63006157, -0.70042104, 0.3198777, -0.10055398, 1598.7919, 1598.7919, 955.3068, 717.69305, , 
65765.837829208, 000074, 0.19487135, -0.03671387, -0.002599815, 0.6284371, -0.70076185, 0.3215329, -0.10303546, 1598.7919, 1598.7919, 955.3067, 717.69525, , 
65765.854498416, 000075, 0.20043717, -0.036693275, 0.0003124699, 0.62709457, -0.7009834, 0.32279724, -0.1057195, 1598.7919, 1598.7919, 955.3063, 717.6973, , 
65765.8711675, 000076, 0.20582096, -0.036523364, 0.0033277245, 0.62604433, -0.7010645, 0.32368305, -0.10865634, 1598.34, 1598.34, 955.3053, 717.6996, , 
65765.904505958, 000077, 0.21757257, -0.036116302, 0.007723102, 0.6246314, -0.70063394, 0.32542554, -0.11421854, 1598.34, 1598.34, 955.3037, 717.702, , 
65765.921175208, 000078, 0.22322966, -0.035769228, 0.009899399, 0.6236451, -0.7004799, 0.32684407, -0.11648025, 1598.34, 1598.34, 955.3032, 717.70294, , 
65765.937844208, 000079, 0.2285928, -0.035332575, 0.0122893965, 0.62260973, -0.7001687, 0.3286966, -0.11865661, 1598.34, 1598.34, 955.3031, 717.70306, , 
65765.954513458, 000080, 0.23378573, -0.0348573, 0.014792071, 0.6216281, -0.69964945, 0.33078638, -0.121035516, 1598.34, 1598.34, 955.3031, 717.70264, , 
65765.97118275, 000081, 0.23886763, -0.034380496, 0.017364655, 0.6207351, -0.69902164, 0.33284348, -0.12357982, 1598.34, 1598.34, 955.30286, 717.70197, , 
65765.987851958, 000082, 0.24387261, -0.03393703, 0.019991992, 0.61989295, -0.6983809, 0.33475605, -0.126234, 1598.34, 1598.34, 955.30255, 717.7009, , 
65766.004521208, 000083, 0.24882129, -0.033544283, 0.02266305, 0.61903745, -0.6977624, 0.33659878, -0.12892422, 1598.34, 1598.34, 955.3023, 717.7002, , 
65766.02119025, 000084, 0.25413716, -0.033279274, 0.023542486, 0.6184702, -0.6969132, 0.33840322, -0.13149153, 1598.7919, 1598.7919, 955.30194, 717.6997, , 
65766.037859375, 000085, 0.25916454, -0.03298625, 0.025427187, 0.6176734, -0.6963396, 0.34014967, -0.13374881, 1598.7919, 1598.7919, 955.3016, 717.6989, , 
65766.054528708, 000086, 0.26403415, -0.032684967, 0.027769912, 0.6169006, -0.6957539, 0.3419266, -0.1358173, 1598.7919, 1598.7919, 955.30145, 717.6982, , 
65766.087866916, 000087, 0.27350518, -0.032103553, 0.03274129, 0.6153329, -0.694558, 0.3457879, -0.13923088, 1598.7919, 1598.7919, 955.3017, 717.696, , 
65766.10453625, 000088, 0.27806243, -0.031808876, 0.03528625, 0.614554, -0.6939142, 0.347825, -0.1407982, 1598.7919, 1598.7919, 955.30194, 717.6948, , 
65766.121205458, 000089, 0.28296682, -0.032198537, 0.034727853, 0.6146957, -0.6931811, 0.34874943, -0.1415027, 1598.7919, 1598.7919, 955.30206, 717.6934, , 
65766.137874666, 000090, 0.28734243, -0.03212724, 0.03637615, 0.6142611, -0.6924449, 0.35026833, -0.14323217, 1598.7919, 1598.7919, 955.30194, 717.6916, , 
65766.15454375, 000091, 0.29146692, -0.03192789, 0.03875157, 0.61374444, -0.6917242, 0.35171175, -0.14537674, 1598.7919, 1598.7919, 955.3017, 717.6904, , 
65766.171212916, 000092, 0.2954676, -0.031706933, 0.04133834, 0.6130664, -0.6911312, 0.35313144, -0.14759895, 1598.7919, 1598.7919, 955.3014, 717.68976, , 
65766.187882166, 000093, 0.2993899, -0.031497195, 0.04396556, 0.6121668, -0.6906743, 0.35466284, -0.14978349, 1598.7919, 1598.7919, 955.30115, 717.6895, , 
65766.221220625, 000094, 0.3066504, -0.0316291, 0.047147274, 0.6103635, -0.68959314, 0.35792193, -0.1543037, 1598.7919, 1598.7919, 955.30066, 717.68945, , 
65766.237889666, 000095, 0.3100942, -0.031638946, 0.04905331, 0.6094948, -0.68893915, 0.3596168, -0.15669908, 1598.7919, 1598.7919, 955.3002, 717.68896, , 
65766.254558875, 000096, 0.31346226, -0.031579122, 0.051350787, 0.60873073, -0.68819004, 0.36131725, -0.15903217, 1598.7919, 1598.7919, 955.3, 717.6882, , 
65766.271228166, 000097, 0.31672248, -0.031523645, 0.05373053, 0.60808444, -0.6873387, 0.3630626, -0.16119681, 1598.7919, 1598.7919, 955.29987, 717.68695, , 
65766.28789725, 000098, 0.319874, -0.031493843, 0.056114595, 0.60753167, -0.68640536, 0.36482573, -0.16326407, 1598.7919, 1598.7919, 955.2996, 717.6855, , 
65766.321235666, 000099, 0.3250176, -0.032334384, 0.057833225, 0.6066504, -0.6843166, 0.36853865, -0.16692927, 1598.7919, 1598.7919, 955.2994, 717.6811, , 
65766.337904875, 000100, 0.32768434, -0.03264357, 0.05906607, 0.6061163, -0.6833484, 0.37051213, -0.16846018, 1598.7919, 1598.7919, 955.2995, 717.6792, , 
65766.354574083, 000101, 0.3305047, -0.032790475, 0.06085631, 0.6054501, -0.6824639, 0.3725733, -0.16988905, 1598.7919, 1598.7919, 955.29987, 717.67676, , 
65766.371243291, 000102, 0.33329868, -0.03287667, 0.062827624, 0.6046784, -0.68157125, 0.3747536, -0.17141876, 1598.7919, 1598.7919, 955.3001, 717.67505, , 
65766.387912333, 000103, 0.33599263, -0.032923646, 0.06486537, 0.6038394, -0.6806018, 0.37704033, -0.17320468, 1598.7919, 1598.7919, 955.3003, 717.6732, , 
65766.421250791, 000104, 0.3406512, -0.033402566, 0.0668098, 0.60169566, -0.67841595, 0.38234797, -0.17755084, 1598.7919, 1598.7919, 955.3008, 717.66907, , 
65766.43792, 000105, 0.3429937, -0.033552907, 0.06813959, 0.6001905, -0.67729455, 0.38541424, -0.18027568, 1598.7919, 1598.7919, 955.301, 717.6675, , 
65766.454589083, 000106, 0.345484, -0.033624172, 0.06989287, 0.5982915, -0.67637974, 0.3886177, -0.18312263, 1598.7919, 1598.7919, 955.30115, 717.6666, , 
65766.471258291, 000107, 0.3480547, -0.03367242, 0.07171315, 0.5960564, -0.6756827, 0.39190915, -0.18594864, 1598.7919, 1598.7919, 955.3016, 717.6665, , 
65766.487927541, 000108, 0.35061467, -0.033677716, 0.07348454, 0.5937242, -0.6750561, 0.39515767, -0.18878916, 1598.7919, 1598.7919, 955.30194, 717.6669, , 
65766.521265958, 000109, 0.35498095, -0.034242384, 0.075056754, 0.58990896, -0.67363745, 0.4005899, -0.19428793, 1598.7919, 1598.7919, 955.3023, 717.66724, , 
65766.537935, 000110, 0.35705942, -0.034235872, 0.07589256, 0.5883918, -0.6725564, 0.40324083, -0.19712909, 1598.7919, 1598.7919, 955.3023, 717.66656, , 
65766.55460425, 000111, 0.3591751, -0.03397046, 0.07688431, 0.58710253, -0.67134005, 0.40581232, -0.19982389, 1598.7919, 1598.7919, 955.3022, 717.6652, , 
