timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
65764.320679875, -0.0593109130859375, -1.0018463134765625, -0.18499755859375, -0.261358380317688, -0.106743223965168, -0.03460671380162239
65764.330748875, -0.04901123046875, -1.005035400390625, -0.193267822265625, -0.292447030544281, -0.13710059225559235, -0.029050294309854507
65764.340816875, -0.056640625, -0.9937896728515625, -0.2101898193359375, -0.2991938889026642, -0.1771542727947235, -0.04030641168355942
65764.35088641667, -0.0711822509765625, -0.9792938232421875, -0.2199249267578125, -0.28452759981155396, -0.18876191973686218, -0.04592088609933853
65764.36095541668, -0.075958251953125, -0.9716644287109375, -0.2279052734375, -0.2562762498855591, -0.19641025364398956, -0.052130844444036484
65764.37102341666, -0.0794219970703125, -0.9648590087890625, -0.240814208984375, -0.22866007685661316, -0.20802350342273712, -0.06348017603158951
65764.38109241668, -0.088836669921875, -0.9610748291015625, -0.2443084716796875, -0.21353358030319214, -0.21561990678310394, -0.07259804010391235
65764.39116141667, -0.094512939453125, -0.9593963623046875, -0.2419586181640625, -0.20536407828330994, -0.2199893593788147, -0.07798188179731369
65764.40122941668, -0.0977783203125, -0.96240234375, -0.247467041015625, -0.19450263679027557, -0.22676123678684235, -0.07859574258327484
65764.41129841667, -0.0943756103515625, -0.962127685546875, -0.2586669921875, -0.18157193064689636, -0.23967677354812622, -0.07396584004163742
65764.42136741667, -0.0928955078125, -0.96380615234375, -0.2681732177734375, -0.1500299721956253, -0.25993409752845764, -0.07203637808561325
65764.43143641666, -0.0891876220703125, -0.9645233154296875, -0.2724456787109375, -0.11690371483564377, -0.28137922286987305, -0.07101611793041229
65764.44150441667, -0.083953857421875, -0.965179443359375, -0.270233154296875, -0.08718257397413254, -0.28565090894699097, -0.06829250603914261
65764.45157341666, -0.0794219970703125, -0.9690093994140625, -0.2662506103515625, -0.06162341684103012, -0.2852863371372223, -0.06808903813362122
65764.46164241667, -0.0789794921875, -0.9700164794921875, -0.25787353515625, -0.05102004110813141, -0.27903351187705994, -0.07258632034063339
65764.47171041668, -0.0802154541015625, -0.9709625244140625, -0.2446136474609375, -0.0468098483979702, -0.25664830207824707, -0.08086315542459488
65764.48177941667, -0.0751953125, -0.9755401611328125, -0.2310333251953125, -0.052030179649591446, -0.22670504450798035, -0.0931062400341034
65764.49184841667, -0.0731658935546875, -0.9846038818359375, -0.218719482421875, -0.0619235560297966, -0.20072057843208313, -0.10217457264661789
65764.50191641667, -0.07757568359375, -0.9864501953125, -0.21356201171875, -0.07296395301818848, -0.18496185541152954, -0.11717083305120468
65764.51198541667, -0.077911376953125, -0.9850311279296875, -0.2147369384765625, -0.07914888113737106, -0.17541815340518951, -0.1265169233083725
65764.52205441667, -0.0699005126953125, -0.983795166015625, -0.2173004150390625, -0.08763264864683151, -0.17010648548603058, -0.13367630541324615
65764.53212241667, -0.0640411376953125, -0.9798126220703125, -0.2226715087890625, -0.08866915106773376, -0.18310031294822693, -0.13390666246414185
65764.54219141667, -0.056304931640625, -0.975311279296875, -0.226898193359375, -0.09618885070085526, -0.19576869904994965, -0.12262312322854996
65764.55226041668, -0.045654296875, -0.9766998291015625, -0.2295684814453125, -0.09178823977708817, -0.2056381106376648, -0.10720847547054291
65764.56232941667, -0.034210205078125, -0.977447509765625, -0.2331390380859375, -0.08135104924440384, -0.2106613665819168, -0.08443951606750488
65764.57239741668, -0.03607177734375, -0.9770965576171875, -0.2352447509765625, -0.0652913898229599, -0.22179044783115387, -0.0742180347442627
65764.58246641667, -0.0424346923828125, -0.977203369140625, -0.2362518310546875, -0.05363846197724342, -0.24158386886119843, -0.06745201349258423
65764.59253541667, -0.0435333251953125, -0.9795379638671875, -0.2286224365234375, -0.05043654143810272, -0.2659299373626709, -0.06221223995089531
65764.60260341667, -0.04150390625, -0.983642578125, -0.2181854248046875, -0.05729817599058151, -0.28992822766304016, -0.06240345537662506
