timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
65575.69622129167, 0.03057861328125, -0.8993988037109375, -0.4649658203125, -0.09280770272016525, -0.1949141025543213, 0.03373612463474274
65575.70628729167, 0.02520751953125, -0.8986358642578125, -0.46478271484375, -0.08660546690225601, -0.2259146273136139, 0.06445515900850296
65575.71635429167, 0.0131988525390625, -0.8935394287109375, -0.460113525390625, -0.0728081613779068, -0.22607973217964172, 0.08856608718633652
65575.72642129166, 0.00274658203125, -0.8874053955078125, -0.454742431640625, -0.052447762340307236, -0.20538564026355743, 0.10292957723140717
65575.73648729167, -0.017822265625, -0.8821563720703125, -0.44293212890625, -0.032523587346076965, -0.16470293700695038, 0.09833509474992752
65575.74655429168, -0.03753662109375, -0.8732757568359375, -0.4327850341796875, -0.016384299844503403, -0.11498810350894928, 0.08313217014074326
65575.75662129167, -0.054168701171875, -0.8695220947265625, -0.4246978759765625, -0.005201419815421104, -0.059892892837524414, 0.0569106861948967
65575.76668829167, -0.0596160888671875, -0.869476318359375, -0.417633056640625, 0.002942526713013649, -0.008007059805095196, 0.031082551926374435
65575.77675429167, -0.05438232421875, -0.8745269775390625, -0.4159088134765625, 0.00612313998863101, 0.030240194872021675, 0.010395648889243603
65575.78682129167, -0.0467529296875, -0.8870697021484375, -0.4123992919921875, 0.004279167391359806, 0.05819060280919075, 0.004489290527999401
65575.79688829168, -0.0414581298828125, -0.893646240234375, -0.410675048828125, -0.006603308022022247, 0.07595095783472061, -0.0009752495680004358
65575.80695529167, -0.0411834716796875, -0.8908843994140625, -0.414520263671875, -0.024404142051935196, 0.07815898209810257, -0.006178000941872597
65575.81702129167, -0.0372161865234375, -0.8895721435546875, -0.419647216796875, -0.04337304085493088, 0.07633871585130692, -0.009682188741862774
65575.82708829167, -0.0315093994140625, -0.886688232421875, -0.42254638671875, -0.04824342951178551, 0.07203983515501022, -0.004346012603491545
65575.83715529167, -0.0321044921875, -0.8784942626953125, -0.428009033203125, -0.0536017082631588, 0.06895004212856293, -0.0027502465527504683
65575.84722129167, -0.0362701416015625, -0.8731689453125, -0.431884765625, -0.050513241440057755, 0.06281251460313797, -0.0030037793330848217
65575.85728829168, -0.0403900146484375, -0.871307373046875, -0.4288787841796875, -0.057984475046396255, 0.05489574000239372, -0.006094910204410553
65575.86735529167, -0.0384368896484375, -0.876129150390625, -0.4284210205078125, -0.07100706547498703, 0.04903918132185936, -0.008360727690160275
65575.87742229167, -0.029327392578125, -0.882171630859375, -0.43072509765625, -0.09467777609825134, 0.0408204011619091, -0.010539992712438107
65575.88748829167, -0.0191497802734375, -0.8871002197265625, -0.434417724609375, -0.11579877138137817, 0.03413666412234306, -0.004974518436938524
65575.89755529167, -0.0117950439453125, -0.8920135498046875, -0.4415435791015625, -0.12965546548366547, 0.021443506702780724, 0.0014421016676351428
65575.90762229168, -0.0075836181640625, -0.900299072265625, -0.4515380859375, -0.1387307196855545, 0.0072925337590277195, 0.006649913266301155
65575.91768929167, -0.006866455078125, -0.9075927734375, -0.4581756591796875, -0.13666489720344543, -0.007011570502072573, 0.006905843038111925
65575.92775529168, -0.0043182373046875, -0.9077301025390625, -0.465423583984375, -0.12578162550926208, -0.02280784398317337, 0.008493886329233646
65575.93782229167, -0.006011962890625, -0.9071807861328125, -0.475128173828125, -0.10604467988014221, -0.029689984396100044, 0.011796471662819386
65575.94788929167, -0.0095977783203125, -0.900177001953125, -0.4827117919921875, -0.08126476407051086, -0.03424585610628128, 0.01233229972422123
65575.95795629168, -0.016204833984375, -0.8971405029296875, -0.489105224609375, -0.057497382164001465, -0.03759744390845299, 0.009889914654195309
65575.96802229166, -0.0227813720703125, -0.8921966552734375, -0.4901123046875, -0.03424452245235443, -0.04147261008620262, 0.004829110112041235
