node_id,frame_id,timestamp,x,y,z
0,0,65764.237587125,2.0328790734103208e-20,0.0,0.0
1,30,65764.937693041,0.01092853660152193,-0.02576404669411569,0.029743568471413455
2,60,65765.571122083,0.02513833374305545,-0.10853656433051191,0.042681676869138374
3,90,65766.137874666,0.056586126502860684,-0.28231897045038123,-0.03862388678074347
4,120,65766.737965375,0.06730769814314788,-0.3741205212031217,-0.07970309552855682
5,150,65767.371394166,0.0624682047157563,-0.43497125394099984,-0.07134037543905014
6,180,65768.071499791,0.07788636309665176,-0.4060413722405266,-0.14632848396383707
7,210,65768.754935916,0.12400176643690411,-0.20947548651461123,-0.31944818509552203
8,240,65769.371695125,0.18457962820346507,0.05989966318544163,-0.5393479963083722
9,270,65769.988454375,0.24407717303121115,0.1396216776142779,-0.7713477109237039
10,300,65770.655220875,0.3222541667460492,0.19257252830931262,-1.136911290452381
11,330,65771.305318041,0.3636088029817606,0.17785459972505474,-1.4654985752886156
12,360,65771.955415125,0.42997206188820947,0.03233064337643658,-1.7739096695476602
13,390,65772.655519375,0.4866906473149548,-0.1689530742832426,-2.053182775560506
14,420,65773.372292708,0.49348200399028536,-0.4613611774492824,-2.1507178947627508
15,450,65774.039058375,0.6170525596800307,-0.3753885780698889,-2.5310064205318725
16,480,65774.722493041,0.6566259064977251,-0.16245047841151042,-2.7768144231566687
17,510,65775.35592,0.6859426772849103,-0.05945555480120569,-2.96796597935201
18,540,65775.922670541,0.7085554122431036,0.06726952372427375,-3.138263039839111
19,570,65776.506089958,0.7512283098330035,0.1751115829799131,-3.3786287569708593
20,600,65777.07284,0.7887940837490435,0.3065971968434683,-3.646299268668549
21,630,65777.639590083,0.8169219035239726,0.42028269381399924,-3.898005926067886
22,660,65778.173001708,0.8747362347728667,0.40216377378046875,-4.119799499538249
23,690,65778.806428083,0.9414916470220261,0.28777707290393134,-4.381428834185481
24,720,65779.389846875,0.9874362823503092,0.13272181883039177,-4.608029654913305
25,750,65779.923258291,1.0326746768899313,-0.14060787886363335,-4.694270023795379
26,780,65780.47333875,1.0403081324285393,-0.39978014787718213,-4.683253093343828
27,810,65781.040088041,1.0290249939629836,-0.6272843605434536,-4.592039940169912
28,840,65781.673513625,0.9885122687936215,-0.855621766390794,-4.364749470419032
29,870,65782.34027725,0.9452292684675685,-1.1222261925950476,-4.121593265672067
30,900,65783.007040916,0.8991695954216271,-1.3270918826355942,-3.8094937944213183
31,930,65783.640466041,0.8671624087485426,-1.5500350840061183,-3.534022186429867
32,960,65784.307229333,0.8210244955538282,-1.7382138014900004,-3.251011293054198
33,990,65784.990661625,0.7613056161518648,-1.9175025258233744,-2.943941941341453
34,1020,65785.707431791,0.6722993613302507,-2.075352481664211,-2.727614668534891
35,1050,65786.407532791,0.7747998470010448,-2.438238001705598,-2.6365661613498417
36,1080,65787.057626458,0.800093415594683,-2.7554500568672373,-2.7169580860012577
37,1110,65787.724389083,0.8115109174554392,-3.043568336728364,-2.768017664031079
38,1140,65788.40782075,0.8628815659410589,-3.3103538925769516,-2.9313115383533335
39,1170,65789.107921416,0.9134984698892931,-3.4664708015604973,-3.1222146474066306
40,1200,65789.758014625,0.9678143461181303,-3.386753289487712,-3.3088823252700177
41,1230,65790.408107791,1.0247880984885993,-3.3052488722220956,-3.5524506391803614
42,1260,65791.091539041,1.077327861962199,-3.236428584815268,-3.819391638298201
43,1290,65791.824977208,1.1280224148339884,-3.046826566916644,-4.172370899151496
44,1320,65792.525077333,1.1959372260690981,-2.883594745983654,-4.488502900956634
45,1350,65793.208508208,1.2391590934907828,-2.643100528398407,-4.7663259439582735
46,1380,65793.908607958,1.2945300660971486,-2.440557798311459,-5.091174934255319
47,1410,65794.542031541,1.3554485878379379,-2.3103621869953064,-5.414167110767874
48,1440,65795.158785958,1.409180165668845,-2.3444157870655684,-5.7108970785500475
49,1470,65795.792209291,1.4664222558922417,-2.470053848807637,-5.955371649784791
50,1500,65796.458970625,1.5086484337455184,-2.695865540252133,-6.08369054121642
51,1530,65797.075724833,1.5044645492857238,-2.9068164416686795,-6.011108794745676
52,1560,65797.659140791,1.4878920821619566,-3.0960901851373044,-5.93900765864645
53,1590,65798.275894875,1.4729234192047578,-3.353548836338621,-5.819732301686634
54,1620,65798.892648666,1.4335173598402575,-3.59327413415899,-5.5931099011484715
55,1650,65799.526071583,1.394892533470824,-3.8629611397507477,-5.369520387344397
56,1680,65800.226170541,1.3645787302135617,-4.101887185111368,-5.080287739327742
57,1710,65800.926269083,1.3227411245007337,-4.34888345361634,-4.767374284707503
58,1740,65801.60969875,1.2663459944739217,-4.559101861230928,-4.4443181980286
59,1770,65802.3097975,1.2313263292270087,-4.768902778271378,-4.180950378882572
60,1800,65803.059903041,1.1899581527482153,-5.085236014095466,-3.9741101746425507
61,1830,65803.7933395,1.1574571243295302,-5.353369887716031,-3.7031571873779816
62,1860,65804.476768833,1.1319807519977356,-5.505431864548734,-3.5329948653632273
63,1890,65805.160198041,1.0943025089994194,-5.536762693140611,-3.3605254825743285
64,1920,65805.843627333,1.127967154221644,-5.581801425265963,-3.326181404541105
65,1950,65806.4603805,1.1768041673757854,-5.661617760600492,-3.392385043379441
66,1980,65807.060464583,1.204269824992182,-5.820103519399088,-3.7316083066640116
67,2010,65807.727224625,1.1463516212105194,-5.908338881364472,-3.966014569467621
68,2040,65808.410653583,1.193682588361775,-5.783068549317566,-4.11307070318873
69,2070,65809.027406625,1.2489545708166483,-5.553276567856763,-4.234954672516095
70,2100,65809.660828375,1.2998116701160218,-5.5625058756525405,-4.488655299030562
71,2130,65810.327588166,1.3744122718235663,-5.614418422105501,-4.826495136467292
72,2160,65810.994347958,1.4588555708802466,-5.548591703937784,-5.200518669754964
73,2190,65811.661107666,1.5460479737025175,-5.514057564806343,-5.568124479592823
74,2220,65812.327867333,1.5901630914593885,-5.364067463242152,-5.824653239805556
75,2250,65812.961288875,1.6269559377673113,-5.265663766443947,-5.945356895927667
76,2280,65813.594710458,1.5947094878425694,-4.953430844653428,-5.832753782844067
77,2310,65814.228132041,1.5082864322114304,-4.765314541378786,-5.543166187956728
78,2340,65814.8782225,1.4732063188933648,-4.510377824144434,-5.457065083109367
79,2370,65815.511643958,1.4381636093488313,-4.272547615997578,-5.388403760050312
80,2400,65816.145065291,1.388104902130535,-4.0135869405078575,-5.367162007313287
81,2430,65816.761817708,1.3887939061238952,-3.7290484160202686,-5.46327509946905
82,2460,65817.411907916,1.3875867219874485,-3.4462780814636176,-5.606493156329614
83,2490,65818.112005125,1.3163115325151449,-3.291498641038612,-5.857153398045453
84,2520,65818.845440208,1.3812191155499218,-3.0988629719593206,-6.0463218441950115
85,2550,65819.478861291,1.4861049774229846,-3.0912656503418496,-6.261573659878736
86,2580,65820.062275625,1.5373833395549727,-3.1499818255725853,-6.5025490436392674
87,2610,65820.66235875,1.5849173966880497,-3.2335555510218983,-6.734660645037097
88,2640,65821.279110833,1.6583709022231614,-3.4646327792011933,-6.912555812163691
89,2670,65821.945869791,1.6965394903260875,-3.702979227415428,-7.126841854268131
90,2700,65822.595959875,1.7542240037170147,-3.924334875829742,-7.335379308935176
91,2730,65823.262718791,1.8417963682728826,-4.137434872864102,-7.60026592791043
92,2760,65823.946146666,1.8623878770254834,-4.354926907123241,-7.763075624872306
93,2790,65824.612905458,1.8928492031910964,-4.629240132948244,-7.820075642319763
94,2820,65825.24632625,1.9306468095776808,-4.877390344871823,-7.8724361797441365
95,2850,65825.879747166,1.9325042017400067,-5.026223848353306,-7.89285978326102
96,2880,65826.529836875,2.0163720718681604,-5.041746138122691,-8.068425892627214
97,2910,65827.163257541,2.0166825184944503,-4.724776756855119,-8.167869013578159
98,2940,65827.830016166,1.9533588315681563,-4.373942842564658,-8.10698011437844
99,2970,65828.580119625,1.933061651539607,-4.269505033902253,-8.121487344074911
100,3000,65829.263547166,1.8781559519798705,-4.099736997337012,-7.832928198209702
101,3030,65829.996981458,1.7001350497639904,-3.929056233024556,-7.668948503387106
102,3060,65830.730416,1.7746601166698897,-3.7240278344744295,-7.3263241658577485
103,3090,65831.363836458,1.6925535476204014,-3.6195006573391244,-7.011475955841629
104,3120,65832.030594916,1.6304098773731175,-3.340391906780425,-6.754980570208466
105,3150,65832.730691333,1.5392166489146124,-3.0194642504462332,-6.496221466388589
106,3180,65833.414118625,1.4899425298968922,-2.677204494757924,-6.291113668960171
107,3210,65834.09754575,1.4231106891753944,-2.315403886791912,-6.023592408301831
108,3240,65834.764304,1.3445400828685927,-1.9106900694649405,-5.84636960910927
109,3270,65835.431062291,1.2668581570975719,-1.545296271224969,-5.607639637508081
110,3300,65836.081151708,1.222245108118302,-1.191547452993902,-5.437029498065903
111,3330,65836.681234166,1.175563046216299,-0.844431828100734,-5.283564892048916
112,3360,65837.231309458,1.1657350427199327,-0.5174395602543742,-5.248124862525544
113,3390,65837.748047083,1.1608621538552968,-0.22130156987597116,-5.2983029392621255
114,3420,65838.331460625,1.1652739433555954,0.053059368360229786,-5.421787502092158
115,3450,65838.98154975,1.1991622019428192,0.27458293695893937,-5.659528925477058
