node_id,frame_id,timestamp,turning_angle_degrees,x,z
2,60,65765.571122083,111.17232035010319,0.02513833374305545,0.042681676869138374
4,120,65766.737965375,164.56983657416018,0.06730769814314788,-0.07970309552855682
5,150,65767.371394166,161.56065420105688,0.0624682047157563,-0.07134037543905014
25,750,65779.923258291,117.60274585518235,1.0326746768899313,-4.694270023795379
34,1020,65785.707431791,70.75050332101029,0.6722993613302507,-2.727614668534891
35,1050,65786.407532791,114.14880297859645,0.7747998470010448,-2.6365661613498417
50,1500,65796.458970625,165.0841557015926,1.5086484337455184,-6.08369054121642
63,1890,65805.160198041,56.7510263290145,1.0943025089994194,-3.3605254825743285
64,1920,65805.843627333,99.1569822997747,1.127967154221644,-3.326181404541105
75,2250,65812.961288875,179.0280118946342,1.6269559377673113,-5.945356895927667
80,2400,65816.145065291,113.40402834200708,1.388104902130535,-5.367162007313287
97,2910,65827.163257541,134.05591288909372,2.0166825184944503,-8.167869013578159
98,2940,65827.830016166,79.43199727758167,1.9533588315681563,-8.10698011437844
99,2970,65828.580119625,114.78175831986624,1.933061651539607,-8.121487344074911
101,3030,65829.996981458,59.62242304490207,1.7001350497639904,-7.668948503387106
112,3360,65837.231309458,158.95387056351944,1.1657350427199327,-5.248124862525544
124,3720,65845.149060833,175.73769244473496,1.651379016574481,-8.407065949897227
131,3930,65849.49965575,146.642401192301,1.3924811852558345,-6.983475370377447
133,3990,65850.7164885,164.14598760538598,1.4282561847186825,-7.061500878589949
146,4380,65858.934274291,166.78571181483758,0.7216448120094932,-3.279236010789363
151,4530,65862.468087666,132.59955670881342,0.7582852564318694,-3.824688257834642
155,4650,65865.235130041,64.71036846047276,0.6411328686922383,-3.1199044754386436
156,4680,65865.918556125,105.4226215196983,0.6688620963053773,-3.104162930269145
157,4710,65866.601982083,129.29878074777216,0.7081371901350701,-3.2598285915992045
172,5160,65876.286624833,90.07954478946783,0.02700471589912526,0.2014501765328853
173,5190,65876.886705791,51.38053299087826,-0.024910547702639698,0.1959605942345546
175,5250,65878.286894708,60.92253441459348,-0.13795958743188777,0.04449879881039932
193,5790,65890.2051675,165.61722748100945,0.9285845114133396,-4.71493045230486
204,6120,65897.839525791,124.80212529213314,0.6859923185743556,-2.877851065019322
217,6510,65906.907405791,165.15255880095006,1.2725127318129383,-6.221468106334693
226,6780,65913.158238666,171.34758294525352,0.8871205210267044,-4.137464672413496
237,7110,65920.859262666,179.37619620076453,1.2242649287304288,-5.740844669997147
240,7200,65922.809521833,155.6129585626755,1.1286393868614222,-5.473624754325298
253,7590,65931.46066975,152.85369751121107,1.6685826675841897,-8.16670235416402
269,8070,65941.578675625,102.88212901242458,0.9397812537283032,-5.414375825589015
281,8430,65949.61306975,171.20294206824897,1.4967531094438407,-8.67353541720927
301,9030,65962.781471583,160.0338064053878,0.5296113662094424,-3.35303901655297
305,9150,65965.565171,161.15505431497905,0.5782688761758955,-3.8654060766653275
309,9270,65968.248857166,109.34017046850407,0.5065885412112311,-3.492602583030861
310,9300,65968.915611541,63.988418141774794,0.5699847719738115,-3.4827393624850336
323,9690,65977.950130958,89.90573305999304,-0.07109232760302828,-0.24978269447635648
324,9720,65978.583547375,171.35834594181765,-0.08773744061134173,-0.2560752201702021
