first_node_id,second_node_id,first_frame_id,second_frame_id,frame_gap,position_distance
13,164,390,4920,4530,0.032858242107448324
12,165,360,4950,4590,0.033704764759253256
221,240,6630,7200,570,0.042669433686183166
245,261,7350,7830,480,0.04305831862647385
177,325,5310,9744,4434,0.05104834970074352
22,143,660,4290,3630,0.056907784675407164
16,161,480,4830,4350,0.07167527716479713
177,324,5310,9720,4410,0.07395533290337553
1,171,30,5130,5100,0.07521354124890742
248,259,7440,7770,330,0.08797474229973912
0,171,0,5130,5130,0.08947358240603616
187,313,5610,9390,3780,0.09871490802384639
22,190,660,5700,5040,0.10016416212118175
11,166,330,4980,4650,0.10614370055856594
24,192,720,5760,5040,0.11329859441942666
117,137,3510,4110,600,0.11527374448653373
118,136,3540,4080,540,0.11641592500576899
87,104,2610,3120,510,0.11788329851855073
23,191,690,5730,5040,0.12046030464170332
183,317,5490,9510,4020,0.12347737723857846
25,193,750,5790,5040,0.12384248613270105
300,311,9000,9330,330,0.127720639302459
21,298,630,8940,8310,0.12817461398043528
86,105,2580,3150,570,0.13068372765549047
146,157,4380,4710,330,0.1307117956429998
15,162,450,4860,4410,0.1334252650449584
143,190,4290,5700,1410,0.1347441322529703
301,310,9030,9300,270,0.13613439521814308
26,194,780,5820,5040,0.13928688356433086
2,171,60,5130,5070,0.13956043093570683
17,314,510,9420,8910,0.1407916116629472
246,260,7380,7800,420,0.14204547820454685
89,103,2670,3090,420,0.1424564843065813
12,182,360,5460,5100,0.1432220669020847
119,135,3570,4050,480,0.1449030399011379
147,157,4410,4710,300,0.14493217490119195
17,160,510,4800,4290,0.14574888950139045
191,297,5730,8910,3180,0.1468366433664434
21,144,630,4320,3690,0.14853179323289467
18,160,540,4800,4260,0.14873539238850353
184,316,5520,9480,3960,0.1502974688296099
55,80,1650,2400,750,0.15079710126293322
52,84,1560,2520,960,0.15133784910762946
54,82,1620,2460,840,0.1545851691490171
18,187,540,5610,5070,0.1578755025458419
162,315,4860,9450,4590,0.15996045666220005
138,294,4140,8820,4680,0.16019868134889886
165,182,4950,5460,510,0.16026100789188014
19,188,570,5640,5070,0.16071018450324565
2,172,60,5160,5100,0.16111409788412592
10,167,300,5010,4710,0.16264237351109817
55,81,1650,2430,780,0.16358409726501202
22,298,660,8940,8280,0.16718283070541226
142,297,4260,8910,4650,0.16773441822380053
23,297,690,8910,8220,0.16863792191105587
189,299,5670,8970,3300,0.17157310218973643
126,285,3780,8550,4770,0.17218023887891412
53,83,1590,2490,900,0.17256259224393172
84,218,2520,6540,4020,0.1739405617545138
18,313,540,9390,8850,0.1744270719575928
49,107,1470,3210,1740,0.17448946803625012
43,210,1290,6300,5010,0.17465549194111699
135,291,4050,8730,4680,0.1766749498389922
127,285,3810,8550,4740,0.17679558363012574
144,299,4320,8970,4650,0.17787480202278824
116,293,3480,8790,5310,0.17984911367995088
177,323,5310,9690,4380,0.1798549875456085
42,209,1260,6270,5010,0.18235494586182235
190,298,5700,8940,3240,0.18281644545009787
186,314,5580,9420,3840,0.18303047582186277
13,183,390,5490,5100,0.18321336387201215
219,243,6570,7290,720,0.1834273926942485
83,219,2490,6570,4080,0.18376591734188286
159,187,4770,5610,840,0.18445807064654615
163,316,4890,9480,4590,0.18470771135995437
88,103,2640,3090,450,0.1869163121575064
137,293,4110,8790,4680,0.18796887870685733
101,258,3030,7740,4710,0.1888673353741673
143,298,4290,8940,4650,0.18924926875023299
247,260,7410,7800,390,0.18977808906625004
144,189,4320,5670,1350,0.1900441965741791
146,158,4380,4740,360,0.19029571228698483
6,325,180,9744,9564,0.1929280181902462
54,81,1620,2430,810,0.19311115621423877
150,304,4500,9120,4620,0.19375162660579756
41,208,1230,6240,5010,0.19458223365073718
188,312,5640,9360,3720,0.19582246021740252
161,186,4830,5580,750,0.19606662649770376
116,272,3480,8160,4680,0.1969127951633306
122,278,3660,8340,4680,0.19691916939879317
20,189,600,5670,5070,0.19711525352832263
120,290,3600,8700,5100,0.19815298714804874
150,305,4500,9150,4650,0.19850761825128627
139,295,4170,8850,4680,0.1992488351280019
15,315,450,9450,9000,0.19955929062002456
116,138,3480,4140,660,0.20014724212287366
118,291,3540,8730,5190,0.20092526358333176
150,306,4500,9180,4680,0.20127744459937325
90,102,2700,3060,360,0.20155034394734786
119,275,3570,8250,4680,0.20161190794825234
164,183,4920,5490,570,0.201666137499812
220,241,6600,7230,630,0.2017614747441227
123,279,3690,8370,4680,0.20186038512662619
88,104,2640,3120,480,0.20260199941704968
117,273,3510,8190,4680,0.20318009634463544
148,302,4440,9060,4620,0.20347230601075017
1,172,30,5160,5130,0.204606401402095
157,301,4710,9030,4320,0.20469308279984058
20,144,600,4320,3720,0.20515934392113844
4,176,120,5280,5160,0.20526360391985624
247,259,7410,7770,360,0.20586311015914915
118,274,3540,8220,4680,0.2070146342943866
5,176,150,5280,5130,0.20707708156030166
176,325,5280,9744,4464,0.20798104159059322
273,293,8190,8790,600,0.20805158948441146
160,186,4800,5580,780,0.20865377181509984
50,106,1500,3180,1680,0.20909925724576703
121,277,3630,8310,4680,0.2091662084610466
21,189,630,5670,5040,0.20940676473935999
151,305,4530,9150,4620,0.20943036161093465
218,243,6540,7290,750,0.20982061024138307
27,195,810,5850,5040,0.21046945202786688
44,211,1320,6330,5010,0.2111382454373759
249,258,7470,7740,270,0.21227738531124674
117,292,3510,8760,5250,0.21303390013752385
4,325,120,9744,9624,0.21351723079502935
145,311,4350,9330,4980,0.21418480653738844
36,204,1080,6120,5040,0.21433921127802805
120,276,3600,8280,4680,0.21448569361867095
